tamanho,ano,garagem,preco
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
100.0,2010,1,140000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
200.0,1999,3,300000
100.0,2010,1,140000
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
200.0,1999,3,300000
100.0,2010,1,140000
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000
230.0,2015,1,250400
250.0,2011,3,400400
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
159.0,2003,2,208500
117.0,1976,2,181500
166.0,2001,2,223500
159.0,2003,2,208500
117.0,1976,2,181500
200.0,1999,3,300000